model name,query index,type
ASLink-PT-08a,10,EF
ASLink-PT-08a,11,AG
ASLink-PT-08a,12,EF
ASLink-PT-08a,13,EF
ASLink-PT-08a,14,EF
ASLink-PT-08a,15,EF
ASLink-PT-08a,16,EF
ASLink-PT-08b,1,EF
ASLink-PT-08b,2,AG
ASLink-PT-08b,3,EF
ASLink-PT-08b,4,AG
ASLink-PT-08b,5,AG
ASLink-PT-08b,6,EF
ASLink-PT-08b,7,AG
ASLink-PT-08b,8,EF
ASLink-PT-08b,9,EF
ASLink-PT-08b,10,AG
ASLink-PT-08b,11,EF
ASLink-PT-08b,12,EF
ASLink-PT-08b,13,EF
ASLink-PT-08b,14,EF
ASLink-PT-08b,15,EF
ASLink-PT-08b,16,AG
ASLink-PT-09a,1,AG
ASLink-PT-09a,2,AG
ASLink-PT-09a,3,AG
ASLink-PT-09a,4,EF
ASLink-PT-09a,5,AG
ASLink-PT-09a,6,AG
ASLink-PT-09a,7,EF
ASLink-PT-09a,8,AG
ASLink-PT-09a,9,AG
ASLink-PT-09a,10,EF
ASLink-PT-09a,11,EF
ASLink-PT-09a,12,EF
ASLink-PT-09a,13,AG
ASLink-PT-09a,14,AG
ASLink-PT-09a,15,EF
ASLink-PT-09a,16,EF
ASLink-PT-09b,1,AG
ASLink-PT-09b,2,AG
ASLink-PT-09b,3,EF
ASLink-PT-09b,4,EF
ASLink-PT-09b,5,EF
ASLink-PT-09b,6,EF
ASLink-PT-09b,7,AG
ASLink-PT-09b,8,EF
ASLink-PT-09b,9,AG
ASLink-PT-09b,10,EF
ASLink-PT-09b,11,AG
ASLink-PT-09b,12,AG
ASLink-PT-09b,13,EF
ASLink-PT-09b,14,AG
ASLink-PT-09b,15,EF
ASLink-PT-09b,16,EF
ASLink-PT-10a,1,EF
ASLink-PT-10a,2,EF
ASLink-PT-10a,3,AG
ASLink-PT-10a,4,AG
ASLink-PT-10a,5,EF
ASLink-PT-10a,6,AG
ASLink-PT-10a,7,EF
ASLink-PT-10a,8,EF
ASLink-PT-10a,9,AG
ASLink-PT-10a,10,AG
ASLink-PT-10a,11,EF
ASLink-PT-10a,12,EF
ASLink-PT-10a,13,AG
ASLink-PT-10a,14,AG
ASLink-PT-10a,15,EF
ASLink-PT-10a,16,EF
ASLink-PT-10b,1,EF
ASLink-PT-10b,2,AG
ASLink-PT-10b,3,EF
ASLink-PT-10b,4,EF
ASLink-PT-10b,5,AG
ASLink-PT-10b,6,AG
ASLink-PT-10b,7,AG
ASLink-PT-10b,8,AG
ASLink-PT-10b,9,EF
ASLink-PT-10b,10,EF
ASLink-PT-10b,11,EF
ASLink-PT-10b,12,EF
ASLink-PT-10b,13,AG
ASLink-PT-10b,14,EF
ASLink-PT-10b,15,EF
ASLink-PT-10b,16,AG
AirplaneLD-PT-0010,1,AG
AirplaneLD-PT-0010,2,EF
AirplaneLD-PT-0010,3,EF
AirplaneLD-PT-0010,4,EF
AirplaneLD-PT-0010,5,AG
AirplaneLD-PT-0010,6,EF
AirplaneLD-PT-0010,7,EF
AirplaneLD-PT-0010,8,EF
AirplaneLD-PT-0010,9,AG
AirplaneLD-PT-0010,10,EF
AirplaneLD-PT-0010,11,AG
AirplaneLD-PT-0010,12,EF
AirplaneLD-PT-0010,13,AG
AirplaneLD-PT-0010,14,AG
AirplaneLD-PT-0010,15,AG
AirplaneLD-PT-0010,16,EF
AirplaneLD-PT-0020,1,AG
AirplaneLD-PT-0020,2,EF
AirplaneLD-PT-0020,3,AG
AirplaneLD-PT-0020,4,AG
AirplaneLD-PT-0020,5,AG
AirplaneLD-PT-0020,6,EF
AirplaneLD-PT-0020,7,EF
AirplaneLD-PT-0020,8,EF
AirplaneLD-PT-0020,9,EF
AirplaneLD-PT-0020,10,AG
AirplaneLD-PT-0020,11,AG
AirplaneLD-PT-0020,12,AG
AirplaneLD-PT-0020,13,AG
AirplaneLD-PT-0020,14,EF
AirplaneLD-PT-0020,15,AG
AirplaneLD-PT-0020,16,AG
AirplaneLD-PT-0050,1,EF
AirplaneLD-PT-0050,2,AG
AirplaneLD-PT-0050,3,EF
AirplaneLD-PT-0050,4,EF
AirplaneLD-PT-0050,5,AG
AirplaneLD-PT-0050,6,EF
AirplaneLD-PT-0050,7,EF
AirplaneLD-PT-0050,8,EF
AirplaneLD-PT-0050,9,EF
AirplaneLD-PT-0050,10,AG
AirplaneLD-PT-0050,11,AG
AirplaneLD-PT-0050,12,EF
AirplaneLD-PT-0050,13,AG
AirplaneLD-PT-0050,14,AG
AirplaneLD-PT-0050,15,EF
AirplaneLD-PT-0050,16,AG
AirplaneLD-PT-0100,1,EF
AirplaneLD-PT-0100,2,AG
AirplaneLD-PT-0100,3,EF
AirplaneLD-PT-0100,4,AG
AirplaneLD-PT-0100,5,EF
AirplaneLD-PT-0100,6,AG
AirplaneLD-PT-0100,7,EF
AirplaneLD-PT-0100,8,EF
AirplaneLD-PT-0100,9,EF
AirplaneLD-PT-0100,10,EF
AirplaneLD-PT-0100,11,EF
AirplaneLD-PT-0100,12,AG
AirplaneLD-PT-0100,13,AG
AirplaneLD-PT-0100,14,AG
AirplaneLD-PT-0100,15,AG
AirplaneLD-PT-0100,16,EF
AirplaneLD-PT-0200,1,EF
AirplaneLD-PT-0200,2,AG
AirplaneLD-PT-0200,3,EF
AirplaneLD-PT-0200,4,AG
AirplaneLD-PT-0200,5,EF
AirplaneLD-PT-0200,6,AG
AirplaneLD-PT-0200,7,EF
AirplaneLD-PT-0200,8,EF
AirplaneLD-PT-0200,9,EF
AirplaneLD-PT-0200,10,AG
AirplaneLD-PT-0200,11,AG
AirplaneLD-PT-0200,12,EF
AirplaneLD-PT-0200,13,EF
AirplaneLD-PT-0200,14,EF
AirplaneLD-PT-0200,15,AG
AirplaneLD-PT-0200,16,EF
AirplaneLD-PT-0500,1,EF
AirplaneLD-PT-0500,2,AG
AirplaneLD-PT-0500,3,AG
AirplaneLD-PT-0500,4,EF
AirplaneLD-PT-0500,5,AG
AirplaneLD-PT-0500,6,AG
AirplaneLD-PT-0500,7,EF
AirplaneLD-PT-0500,8,AG
AirplaneLD-PT-0500,9,EF
AirplaneLD-PT-0500,10,EF
AirplaneLD-PT-0500,11,AG
AirplaneLD-PT-0500,12,EF
AirplaneLD-PT-0500,13,EF
AirplaneLD-PT-0500,14,AG
AirplaneLD-PT-0500,15,EF
AirplaneLD-PT-0500,16,AG
AirplaneLD-PT-1000,1,AG
AirplaneLD-PT-1000,2,EF
AirplaneLD-PT-1000,3,AG
AirplaneLD-PT-1000,4,EF
AirplaneLD-PT-1000,5,AG
AirplaneLD-PT-1000,6,EF
AirplaneLD-PT-1000,7,EF
AirplaneLD-PT-1000,8,AG
AirplaneLD-PT-1000,9,AG
AirplaneLD-PT-1000,10,AG
AirplaneLD-PT-1000,11,AG
AirplaneLD-PT-1000,12,AG
AirplaneLD-PT-1000,13,AG
AirplaneLD-PT-1000,14,EF
AirplaneLD-PT-1000,15,AG
AirplaneLD-PT-1000,16,AG
AirplaneLD-PT-2000,1,AG
AirplaneLD-PT-2000,2,AG
AirplaneLD-PT-2000,3,AG
AirplaneLD-PT-2000,4,AG
AirplaneLD-PT-2000,5,EF
AirplaneLD-PT-2000,6,EF
AirplaneLD-PT-2000,7,AG
AirplaneLD-PT-2000,8,EF
AirplaneLD-PT-2000,9,AG
AirplaneLD-PT-2000,10,AG
AirplaneLD-PT-2000,11,EF
AirplaneLD-PT-2000,12,EF
AirplaneLD-PT-2000,13,AG
AirplaneLD-PT-2000,14,EF
AirplaneLD-PT-2000,15,AG
AirplaneLD-PT-2000,16,EF
AirplaneLD-PT-4000,1,AG
AirplaneLD-PT-4000,2,AG
AirplaneLD-PT-4000,3,AG
AirplaneLD-PT-4000,4,AG
AirplaneLD-PT-4000,5,AG
AirplaneLD-PT-4000,6,EF
AirplaneLD-PT-4000,7,AG
AirplaneLD-PT-4000,8,EF
AirplaneLD-PT-4000,9,AG
AirplaneLD-PT-4000,10,AG
AirplaneLD-PT-4000,11,AG
AirplaneLD-PT-4000,12,AG
AirplaneLD-PT-4000,13,AG
AirplaneLD-PT-4000,14,EF
AirplaneLD-PT-4000,15,AG
AirplaneLD-PT-4000,16,AG
Angiogenesis-PT-01,1,EF
Angiogenesis-PT-01,2,EF
Angiogenesis-PT-01,3,AG
Angiogenesis-PT-01,4,AG
Angiogenesis-PT-01,5,EF
Angiogenesis-PT-01,6,AG
Angiogenesis-PT-01,7,AG
Angiogenesis-PT-01,8,EF
Angiogenesis-PT-01,9,AG
Angiogenesis-PT-01,10,EF
Angiogenesis-PT-01,11,AG
Angiogenesis-PT-01,12,EF
Angiogenesis-PT-01,13,AG
Angiogenesis-PT-01,14,AG
Angiogenesis-PT-01,15,AG
Angiogenesis-PT-01,16,EF
Angiogenesis-PT-05,1,AG
Angiogenesis-PT-05,2,EF
Angiogenesis-PT-05,3,AG
Angiogenesis-PT-05,4,AG
Angiogenesis-PT-05,5,EF
Angiogenesis-PT-05,6,AG
Angiogenesis-PT-05,7,AG
Angiogenesis-PT-05,8,AG
Angiogenesis-PT-05,9,EF
Angiogenesis-PT-05,10,AG
Angiogenesis-PT-05,11,AG
Angiogenesis-PT-05,12,EF
Angiogenesis-PT-05,13,AG
Angiogenesis-PT-05,14,EF
Angiogenesis-PT-05,15,EF
Angiogenesis-PT-05,16,EF
Angiogenesis-PT-10,1,EF
Angiogenesis-PT-10,2,EF
Angiogenesis-PT-10,3,EF
Angiogenesis-PT-10,4,EF
Angiogenesis-PT-10,5,EF
Angiogenesis-PT-10,6,AG
Angiogenesis-PT-10,7,EF
Angiogenesis-PT-10,8,AG
Angiogenesis-PT-10,9,EF
Angiogenesis-PT-10,10,EF
Angiogenesis-PT-10,11,EF
Angiogenesis-PT-10,12,EF
Angiogenesis-PT-10,13,AG
Angiogenesis-PT-10,14,AG
Angiogenesis-PT-10,15,EF
Angiogenesis-PT-10,16,EF
Angiogenesis-PT-15,1,AG
Angiogenesis-PT-15,2,AG
Angiogenesis-PT-15,3,AG
Angiogenesis-PT-15,4,AG
Angiogenesis-PT-15,5,EF
Angiogenesis-PT-15,6,EF
Angiogenesis-PT-15,7,AG
Angiogenesis-PT-15,8,EF
Angiogenesis-PT-15,9,EF
Angiogenesis-PT-15,10,EF
Angiogenesis-PT-15,11,AG
Angiogenesis-PT-15,12,AG
Angiogenesis-PT-15,13,AG
Angiogenesis-PT-15,14,AG
Angiogenesis-PT-15,15,AG
Angiogenesis-PT-15,16,EF
Angiogenesis-PT-20,1,AG
Angiogenesis-PT-20,2,EF
Angiogenesis-PT-20,3,EF
Angiogenesis-PT-20,4,EF
Angiogenesis-PT-20,5,AG
Angiogenesis-PT-20,6,AG
Angiogenesis-PT-20,7,AG
Angiogenesis-PT-20,8,AG
Angiogenesis-PT-20,9,EF
Angiogenesis-PT-20,10,EF
Angiogenesis-PT-20,11,EF
Angiogenesis-PT-20,12,AG
Angiogenesis-PT-20,13,AG
Angiogenesis-PT-20,14,AG
Angiogenesis-PT-20,15,AG
Angiogenesis-PT-20,16,AG
Angiogenesis-PT-25,1,AG
Angiogenesis-PT-25,2,AG
Angiogenesis-PT-25,3,AG
Angiogenesis-PT-25,4,AG
Angiogenesis-PT-25,5,AG
Angiogenesis-PT-25,6,EF
Angiogenesis-PT-25,7,AG
Angiogenesis-PT-25,8,AG
Angiogenesis-PT-25,9,EF
Angiogenesis-PT-25,10,AG
Angiogenesis-PT-25,11,EF
Angiogenesis-PT-25,12,EF
Angiogenesis-PT-25,13,EF
Angiogenesis-PT-25,14,EF
Angiogenesis-PT-25,15,EF
Angiogenesis-PT-25,16,AG
Angiogenesis-PT-50,1,EF
Angiogenesis-PT-50,2,EF
Angiogenesis-PT-50,3,EF
Angiogenesis-PT-50,4,AG
Angiogenesis-PT-50,5,EF
Angiogenesis-PT-50,6,AG
Angiogenesis-PT-50,7,AG
Angiogenesis-PT-50,8,EF
Angiogenesis-PT-50,9,EF
Angiogenesis-PT-50,10,EF
Angiogenesis-PT-50,11,EF
Angiogenesis-PT-50,12,AG
Angiogenesis-PT-50,13,AG
Angiogenesis-PT-50,14,AG
Angiogenesis-PT-50,15,AG
Angiogenesis-PT-50,16,EF
AutoFlight-PT-01a,1,AG
AutoFlight-PT-01a,2,AG
AutoFlight-PT-01a,3,EF
AutoFlight-PT-01a,4,EF
AutoFlight-PT-01a,5,AG
AutoFlight-PT-01a,6,EF
AutoFlight-PT-01a,7,EF
AutoFlight-PT-01a,8,AG
AutoFlight-PT-01a,9,AG
AutoFlight-PT-01a,10,EF
AutoFlight-PT-01a,11,AG
AutoFlight-PT-01a,12,AG
AutoFlight-PT-01a,13,AG
AutoFlight-PT-01a,14,AG
AutoFlight-PT-01a,15,EF
AutoFlight-PT-01a,16,AG
AutoFlight-PT-01b,1,EF
AutoFlight-PT-01b,2,AG
AutoFlight-PT-01b,3,AG
AutoFlight-PT-01b,4,AG
AutoFlight-PT-01b,5,EF
AutoFlight-PT-01b,6,AG
AutoFlight-PT-01b,7,EF
AutoFlight-PT-01b,8,AG
AutoFlight-PT-01b,9,EF
AutoFlight-PT-01b,10,AG
AutoFlight-PT-01b,11,AG
AutoFlight-PT-01b,12,AG
AutoFlight-PT-01b,13,AG
AutoFlight-PT-01b,14,EF
AutoFlight-PT-01b,15,EF
AutoFlight-PT-01b,16,EF
AutoFlight-PT-02a,1,AG
AutoFlight-PT-02a,2,EF
AutoFlight-PT-02a,3,EF
AutoFlight-PT-02a,4,EF
AutoFlight-PT-02a,5,EF
AutoFlight-PT-02a,6,AG
AutoFlight-PT-02a,7,EF
AutoFlight-PT-02a,8,EF
AutoFlight-PT-02a,9,EF
AutoFlight-PT-02a,10,AG
AutoFlight-PT-02a,11,EF
AutoFlight-PT-02a,12,EF
AutoFlight-PT-02a,13,EF
AutoFlight-PT-02a,14,AG
AutoFlight-PT-02a,15,AG
AutoFlight-PT-02a,16,AG
AutoFlight-PT-02b,1,AG
AutoFlight-PT-02b,2,EF
AutoFlight-PT-02b,3,AG
AutoFlight-PT-02b,4,EF
AutoFlight-PT-02b,5,EF
AutoFlight-PT-02b,6,AG
AutoFlight-PT-02b,7,EF
AutoFlight-PT-02b,8,AG
AutoFlight-PT-02b,9,EF
AutoFlight-PT-02b,10,AG
AutoFlight-PT-02b,11,AG
AutoFlight-PT-02b,12,EF
AutoFlight-PT-02b,13,EF
AutoFlight-PT-02b,14,AG
AutoFlight-PT-02b,15,EF
AutoFlight-PT-02b,16,EF
AutoFlight-PT-03a,1,AG
AutoFlight-PT-03a,2,AG
AutoFlight-PT-03a,3,AG
AutoFlight-PT-03a,4,EF
AutoFlight-PT-03a,5,AG
AutoFlight-PT-03a,6,EF
AutoFlight-PT-03a,7,EF
AutoFlight-PT-03a,8,EF
AutoFlight-PT-03a,9,AG
AutoFlight-PT-03a,10,AG
AutoFlight-PT-03a,11,AG
AutoFlight-PT-03a,12,AG
AutoFlight-PT-03a,13,EF
AutoFlight-PT-03a,14,AG
AutoFlight-PT-03a,15,AG
AutoFlight-PT-03a,16,AG
AutoFlight-PT-03b,1,AG
AutoFlight-PT-03b,2,EF
AutoFlight-PT-03b,3,EF
AutoFlight-PT-03b,4,EF
AutoFlight-PT-03b,5,EF
AutoFlight-PT-03b,6,EF
AutoFlight-PT-03b,7,AG
AutoFlight-PT-03b,8,EF
AutoFlight-PT-03b,9,EF
AutoFlight-PT-03b,10,AG
AutoFlight-PT-03b,11,EF
AutoFlight-PT-03b,12,EF
AutoFlight-PT-03b,13,AG
AutoFlight-PT-03b,14,AG
AutoFlight-PT-03b,15,EF
AutoFlight-PT-03b,16,EF
AutoFlight-PT-04a,1,EF
AutoFlight-PT-04a,2,EF
AutoFlight-PT-04a,3,EF
AutoFlight-PT-04a,4,EF
AutoFlight-PT-04a,5,AG
AutoFlight-PT-04a,6,EF
AutoFlight-PT-04a,7,EF
AutoFlight-PT-04a,8,EF
AutoFlight-PT-04a,9,EF
AutoFlight-PT-04a,10,EF
AutoFlight-PT-04a,11,EF
AutoFlight-PT-04a,12,EF
AutoFlight-PT-04a,13,EF
AutoFlight-PT-04a,14,AG
AutoFlight-PT-04a,15,EF
AutoFlight-PT-04a,16,AG
AutoFlight-PT-04b,1,AG
AutoFlight-PT-04b,2,AG
AutoFlight-PT-04b,3,EF
AutoFlight-PT-04b,4,EF
AutoFlight-PT-04b,5,AG
AutoFlight-PT-04b,6,AG
AutoFlight-PT-04b,7,EF
AutoFlight-PT-04b,8,AG
AutoFlight-PT-04b,9,EF
AutoFlight-PT-04b,10,AG
AutoFlight-PT-04b,11,EF
AutoFlight-PT-04b,12,EF
AutoFlight-PT-04b,13,EF
AutoFlight-PT-04b,14,EF
AutoFlight-PT-04b,15,AG
AutoFlight-PT-04b,16,EF
AutoFlight-PT-05a,1,AG
AutoFlight-PT-05a,2,EF
AutoFlight-PT-05a,3,EF
AutoFlight-PT-05a,4,EF
AutoFlight-PT-05a,5,AG
AutoFlight-PT-05a,6,AG
AutoFlight-PT-05a,7,EF
AutoFlight-PT-05a,8,EF
AutoFlight-PT-05a,9,AG
AutoFlight-PT-05a,10,EF
AutoFlight-PT-05a,11,EF
AutoFlight-PT-05a,12,EF
AutoFlight-PT-05a,13,EF
AutoFlight-PT-05a,14,EF
AutoFlight-PT-05a,15,EF
AutoFlight-PT-05a,16,EF
AutoFlight-PT-05b,1,EF
AutoFlight-PT-05b,2,EF
AutoFlight-PT-05b,3,EF
AutoFlight-PT-05b,4,AG
AutoFlight-PT-05b,5,AG
AutoFlight-PT-05b,6,EF
AutoFlight-PT-05b,7,EF
AutoFlight-PT-05b,8,AG
AutoFlight-PT-05b,9,EF
AutoFlight-PT-05b,10,EF
AutoFlight-PT-05b,11,EF
AutoFlight-PT-05b,12,AG
AutoFlight-PT-05b,13,AG
AutoFlight-PT-05b,14,EF
AutoFlight-PT-05b,15,AG
AutoFlight-PT-05b,16,AG
AutoFlight-PT-06a,1,EF
AutoFlight-PT-06a,2,AG
AutoFlight-PT-06a,3,AG
AutoFlight-PT-06a,4,AG
AutoFlight-PT-06a,5,EF
AutoFlight-PT-06a,6,AG
AutoFlight-PT-06a,7,EF
AutoFlight-PT-06a,8,EF
AutoFlight-PT-06a,9,AG
AutoFlight-PT-06a,10,AG
AutoFlight-PT-06a,11,EF
AutoFlight-PT-06a,12,AG
AutoFlight-PT-06a,13,EF
AutoFlight-PT-06a,14,AG
AutoFlight-PT-06a,15,AG
AutoFlight-PT-06a,16,AG
AutoFlight-PT-06b,1,EF
AutoFlight-PT-06b,2,EF
AutoFlight-PT-06b,3,AG
AutoFlight-PT-06b,4,AG
AutoFlight-PT-06b,5,AG
AutoFlight-PT-06b,6,AG
AutoFlight-PT-06b,7,EF
AutoFlight-PT-06b,8,EF
AutoFlight-PT-06b,9,AG
AutoFlight-PT-06b,10,EF
AutoFlight-PT-06b,11,EF
AutoFlight-PT-06b,12,EF
AutoFlight-PT-06b,13,AG
AutoFlight-PT-06b,14,AG
AutoFlight-PT-06b,15,EF
AutoFlight-PT-06b,16,EF
AutoFlight-PT-12a,1,AG
AutoFlight-PT-12a,2,AG
AutoFlight-PT-12a,3,AG
AutoFlight-PT-12a,4,AG
AutoFlight-PT-12a,5,EF
AutoFlight-PT-12a,6,AG
AutoFlight-PT-12a,7,AG
AutoFlight-PT-12a,8,AG
AutoFlight-PT-12a,9,AG
AutoFlight-PT-12a,10,AG
AutoFlight-PT-12a,11,EF
AutoFlight-PT-12a,12,AG
AutoFlight-PT-12a,13,AG
AutoFlight-PT-12a,14,EF
AutoFlight-PT-12a,15,EF
AutoFlight-PT-12a,16,AG
AutoFlight-PT-12b,1,AG
